gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
Male,0,No,No,26,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,One year,Yes,Mailed check,61.6,1582.88,0
Male,0,No,No,47,Yes,Yes,Fiber optic,No,No,No,Yes,No,No,Month-to-month,Yes,Mailed check,39.24,1887.47,1
Female,0,Yes,Yes,6,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),20.3,125.64,1
Female,0,No,Yes,26,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),103.48,2664.62,0
Male,0,No,Yes,70,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,32.74,2339.37,0
Male,0,No,No,17,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,One year,Yes,Electronic check,22.31,394.39,1
Female,0,No,Yes,32,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,66.54,2129.99,0
Female,1,No,No,32,Yes,No,DSL,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),56.17,1840.79,1
Female,0,No,No,24,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,113.98,2763.62,0
Male,0,No,Yes,13,Yes,Yes,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),64.25,838.49,1
Male,0,No,No,37,Yes,Yes,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,No,Electronic check,101.54,3707.69,1
Male,0,Yes,No,37,Yes,No,Fiber optic,No,No,No,Yes,Yes,No,Month-to-month,No,Credit card (automatic),111.2,4105.8,1
Male,0,Yes,Yes,3,Yes,Yes,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,36.42,139.23,1
Male,0,No,No,61,Yes,Yes,DSL,No,No,Yes,No,No,Yes,Two year,Yes,Credit card (automatic),52.63,3188.92,0
Male,0,No,No,9,No,No phone service,DSL,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),110.33,948.41,1
Female,0,No,No,34,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,73.59,2512.88,0
Male,0,No,Yes,22,Yes,No,DSL,No,Yes,Yes,No,Yes,No,Two year,No,Bank transfer (automatic),50.27,1145.9,0
Male,0,Yes,No,64,Yes,No,DSL,No,No,No,No,Yes,Yes,Two year,No,Credit card (automatic),70.05,4532.08,0
Male,0,No,No,24,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),91.12,2148.34,1
Female,0,No,No,52,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),79.83,4197.36,0
Male,0,Yes,Yes,16,No,No phone service,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,111.36,1770.13,1
Male,0,Yes,No,56,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,114.3,6425.36,0
Female,0,No,No,19,Yes,Yes,DSL,Yes,No,Yes,No,No,Yes,Two year,No,Electronic check,89.15,1664.27,0
Male,0,Yes,No,24,Yes,No,Fiber optic,No,No,No,No,No,Yes,Two year,No,Credit card (automatic),84.37,2042.14,0
Male,0,No,No,41,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,19.36,810.91,1
Male,0,Yes,No,44,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,No,Two year,No,Credit card (automatic),96.37,4218.5,0
