customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
CUST-00022,Female,0,No,No,12,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Two year,No,Mailed check,76.99,940.24,No
CUST-00023,Female,0,No,No,48,Yes,No,DSL,No,No,Yes,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),88.68,4213.88,Yes
CUST-00024,Female,0,Yes,Yes,49,No,No phone service,DSL,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,52.66,2530.57,Yes
CUST-00025,Female,0,No,No,13,No,No phone service,Fiber optic,No,No,Yes,Yes,No,No,Month-to-month,Yes,Credit card (automatic),87.14,1151.04,Yes
CUST-00026,Female,0,No,Yes,45,Yes,No,Fiber optic,No,No,No,Yes,Yes,No,Two year,No,Mailed check,82.29,3698.37,No
CUST-00027,Female,1,No,Yes,33,Yes,No,DSL,No,Yes,No,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),116.73,3882.53,No
CUST-00028,Female,0,No,No,70,Yes,No,Fiber optic,No,Yes,No,Yes,No,Yes,Two year,No,Mailed check,79.47,5529.33,No
CUST-00029,Female,1,Yes,Yes,46,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),45.54,2095.91,No
CUST-00030,Male,0,Yes,Yes,59,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,No,Credit card (automatic),42.72,2482.08,Yes
CUST-00031,Male,0,Yes,No,10,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),83.97,830.67,No
CUST-00032,Female,0,Yes,Yes,49,No,No phone service,DSL,No,No,No,No,No,No,One year,Yes,Credit card (automatic),28.35,1374.79,Yes
CUST-00033,Female,0,No,No,3,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,40.64,135.74,Yes
CUST-00034,Female,0,No,Yes,40,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,18.9,768.34,No
CUST-00035,Male,0,No,No,58,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,No,Month-to-month,No,Electronic check,69.14,3985.94,No
CUST-00036,Female,0,No,No,59,Yes,Yes,DSL,No,No,No,No,No,Yes,Month-to-month,No,Electronic check,96.56,5652.11,No
CUST-00037,Male,0,Yes,No,61,Yes,Yes,DSL,No,Yes,Yes,No,Yes,No,One year,Yes,Electronic check,69.07,4173.75,No
CUST-00038,Male,0,Yes,Yes,24,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),46.56,1158.73,No
CUST-00039,Male,0,Yes,Yes,32,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),101.79,3279.94,No
CUST-00040,Male,0,Yes,Yes,18,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check,66.47,1240.7,No
CUST-00041,Male,0,Yes,No,56,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),86.97,4882.09,Yes
CUST-00042,Female,1,No,No,14,Yes,No,Fiber optic,Yes,No,No,Yes,Yes,No,Two year,Yes,Electronic check,116.65,1671.03,Yes
CUST-00043,Female,0,No,Yes,40,No,No phone service,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),99.37,4002.08,Yes
CUST-00044,Female,0,Yes,Yes,68,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,103.05,6981.88,No
CUST-00045,Female,0,Yes,Yes,59,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,30.07,1799.11,No
CUST-00046,Female,0,No,No,21,Yes,No,DSL,No,Yes,No,Yes,No,Yes,One year,Yes,Mailed check,72.06,1524.2,Yes
CUST-00047,Male,0,Yes,No,42,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,One year,Yes,Credit card (automatic),117.7,4910.38,No
CUST-00048,Female,0,No,No,31,Yes,No,Fiber optic,Yes,No,No,No,Yes,No,Month-to-month,No,Credit card (automatic),50.37,1520.88,Yes
CUST-00049,Female,0,No,No,12,Yes,No,DSL,No,No,Yes,No,Yes,No,One year,No,Electronic check,22.18,252.83,No
CUST-00050,Male,0,No,No,37,Yes,No,DSL,Yes,No,Yes,Yes,No,Yes,One year,No,Electronic check,21.41,800.74,No
CUST-00051,Female,0,Yes,Yes,25,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),115.87,2902.42,Yes
CUST-00052,Male,0,No,Yes,4,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,61.42,243.8,Yes
CUST-00053,Female,1,Yes,No,48,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,46.49,2229.4,No
CUST-00054,Male,0,No,No,4,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,69.39,229.21,Yes
CUST-00055,Female,1,Yes,No,70,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),79.02,5483.56,No
CUST-00056,Female,0,Yes,No,47,Yes,No,DSL,Yes,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,106.08,4976.54,Yes
CUST-00057,Male,0,No,No,17,Yes,No,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Two year,No,Electronic check,62.26,1059.94,No
CUST-00058,Male,0,No,No,5,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,103.31,534.1,No
CUST-00059,Male,0,No,No,65,Yes,No,Fiber optic,No,No,No,No,No,Yes,Two year,No,Credit card (automatic),44.02,2877.82,No
CUST-00060,Male,0,No,No,41,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,72.85,3035.36,No
CUST-00061,Male,0,No,Yes,51,Yes,Yes,Fiber optic,No,No,No,No,No,No,One year,Yes,Bank transfer (automatic),96.16,4893.34,No
CUST-00062,Male,0,Yes,No,10,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,62.27,585.37,No
CUST-00063,Male,0,No,No,25,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Mailed check,45.75,1123.85,No
CUST-00064,Male,0,No,No,20,Yes,No,Fiber optic,No,Yes,Yes,Yes,No,Yes,One year,No,Credit card (automatic),98.9,2004.66,Yes
CUST-00065,Female,0,No,No,65,Yes,No,DSL,No,Yes,No,No,No,Yes,Month-to-month,Yes,Electronic check,98.73,6391.84,No
CUST-00066,Female,0,No,No,39,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),46.23,1834.72,No
CUST-00067,Male,0,Yes,Yes,55,Yes,Yes,DSL,Yes,No,Yes,No,Yes,Yes,Month-to-month,No,Credit card (automatic),78.49,4347.56,No
CUST-00068,Female,0,No,No,50,Yes,No,DSL,No,No,No,Yes,No,Yes,Month-to-month,No,Bank transfer (automatic),42.64,2128.92,No
CUST-00069,Female,1,Yes,Yes,19,Yes,No,Fiber optic,No,No,No,No,No,No,One year,No,Electronic check,107.63,2067.98,Yes
CUST-00070,Female,0,Yes,No,56,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),25.51,1458.68,No
CUST-00071,Female,1,No,No,4,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),56.23,247.55,Yes
CUST-00072,Male,0,Yes,Yes,13,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),83.01,1060.4,Yes
CUST-00073,Female,0,No,Yes,23,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,No,Two year,No,Credit card (automatic),104.02,2359.45,No
CUST-00074,Male,0,Yes,No,67,Yes,Yes,Fiber optic,No,No,No,No,No,No,Two year,Yes,Mailed check,97.54,6497.1,No
CUST-00075,Female,0,Yes,No,51,Yes,No,Fiber optic,Yes,No,Yes,Yes,No,No,Month-to-month,No,Bank transfer (automatic),86.41,4453.25,No
CUST-00076,Female,1,No,Yes,47,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,110.61,5158.12,Yes
CUST-00077,Female,0,No,No,46,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,No,Mailed check,20.43,933.87,Yes
CUST-00078,Male,0,No,No,59,Yes,No,Fiber optic,No,No,Yes,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),115.95,6801.21,Yes
CUST-00079,Female,0,No,Yes,72,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,Yes,One year,No,Bank transfer (automatic),52.58,3815.24,Yes
CUST-00080,Male,0,No,No,2,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-month,No,Bank transfer (automatic),92.83,190.97,Yes
CUST-00081,Female,1,Yes,No,8,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Credit card (automatic),45.92,334.93,No
CUST-00082,Male,0,Yes,No,23,Yes,No,Fiber optic,No,Yes,No,Yes,No,No,One year,Yes,Electronic check,59.47,1413.78,No
CUST-00083,Female,0,Yes,No,3,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,105.6,351.64,No
CUST-00084,Male,0,No,Yes,8,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,62.82,465.26,No
CUST-00085,Male,0,No,Yes,0,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,Two year,No,Electronic check,106.48,31.33,No
CUST-00086,Female,0,Yes,Yes,34,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,72.9,2513.04,No
CUST-00087,Male,0,No,No,11,Yes,No,DSL,No,No,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),44.41,515.69,Yes
CUST-00088,Female,0,No,No,17,Yes,No,Fiber optic,Yes,No,No,No,No,Yes,Two year,Yes,Mailed check,66.63,1117.82,No
CUST-00089,Female,0,Yes,No,9,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,No,Electronic check,26.87,217.48,No
CUST-00090,Female,0,Yes,No,17,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,One year,No,Mailed check,65.81,1121.26,No
CUST-00091,Female,0,No,No,23,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),96.77,2223.13,No
CUST-00092,Female,0,No,No,0,Yes,No,DSL,Yes,No,No,No,No,Yes,Month-to-month,Yes,Mailed check,24.89,8.37,No
CUST-00093,Female,0,No,No,71,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,41.34,2926.94,Yes
CUST-00094,Female,0,Yes,Yes,15,Yes,Yes,DSL,No,No,Yes,No,Yes,No,Two year,Yes,Electronic check,60.24,874.67,No
CUST-00095,Female,0,No,Yes,14,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Mailed check,93.78,1319.94,No
CUST-00096,Female,0,Yes,No,61,Yes,No,DSL,No,Yes,No,Yes,Yes,No,Two year,Yes,Bank transfer (automatic),93.11,5683.47,No
CUST-00097,Female,0,Yes,No,4,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),106.73,467.76,No
CUST-00098,Female,0,No,No,44,Yes,Yes,DSL,Yes,No,No,No,No,No,Two year,Yes,Electronic check,32.55,1445.72,No
CUST-00099,Male,0,Yes,No,51,Yes,No,Fiber optic,Yes,No,Yes,No,Yes,Yes,Month-to-month,No,Credit card (automatic),33.57,1739.02,Yes
CUST-00100,Male,0,No,Yes,70,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,84.9,5935.72,Yes
CUST-00101,Female,0,Yes,No,6,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,36.01,248.3,No
CUST-00102,Female,0,No,No,26,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),59.38,1524.85,No
CUST-00103,Female,0,No,No,12,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,No,Bank transfer (automatic),71.94,911.07,Yes
CUST-00104,Female,0,Yes,No,16,Yes,No,Fiber optic,No,No,No,Yes,No,No,Month-to-month,Yes,Electronic check,43.69,730.61,Yes
CUST-00105,Female,0,No,No,43,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),87.16,3698.32,Yes
CUST-00106,Female,0,Yes,No,12,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,103.8,1277.39,No
CUST-00107,Female,0,No,No,72,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,One year,No,Credit card (automatic),19.22,1387.64,Yes
CUST-00108,Female,0,Yes,No,4,Yes,No,Fiber optic,No,No,No,No,Yes,No,One year,No,Bank transfer (automatic),46.93,195.72,Yes
CUST-00109,Male,0,Yes,No,32,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,89.22,2904.87,No
CUST-00110,Female,0,Yes,Yes,3,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,45.56,158.44,Yes
CUST-00111,Male,0,Yes,Yes,25,Yes,Yes,DSL,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Mailed check,70.3,1720.53,No
CUST-00112,Female,0,No,Yes,67,No,No phone service,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,No,Bank transfer (automatic),93.65,6299.96,Yes
CUST-00113,Female,0,Yes,Yes,15,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),52.37,755.5,No
CUST-00114,Male,0,Yes,No,21,Yes,Yes,DSL,No,No,Yes,Yes,No,No,Month-to-month,No,Credit card (automatic),96.76,2075.45,No
CUST-00115,Female,0,Yes,No,35,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,99.61,3462.72,No
CUST-00116,Male,0,Yes,Yes,57,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,One year,No,Credit card (automatic),117.11,6671.44,No
CUST-00117,Female,0,No,Yes,54,Yes,No,Fiber optic,No,No,No,No,Yes,No,One year,No,Mailed check,61.23,3337.7,Yes
CUST-00118,Female,1,No,Yes,34,Yes,Yes,DSL,No,No,Yes,No,No,No,Month-to-month,No,Mailed check,65.58,2276.14,Yes
CUST-00119,Male,0,Yes,No,24,Yes,No,DSL,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),96.29,2276.67,No
CUST-00120,Female,0,No,No,71,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,104.8,7397.7,No
CUST-00121,Male,1,No,No,60,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,Yes,Month-to-month,No,Electronic check,68.52,4140.21,No
CUST-00122,Female,0,Yes,No,17,No,No phone service,Fiber optic,Yes,Yes,No,No,No,No,Month-to-month,No,Credit card (automatic),20.17,379.16,No
CUST-00123,Male,1,No,Yes,57,Yes,No,Fiber optic,No,No,No,No,No,No,Two year,No,Mailed check,63.8,3646.81,No
CUST-00124,Male,0,No,No,56,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),40.52,2236.21,No
CUST-00125,Female,1,No,Yes,62,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,27.67,1681.26,No
CUST-00126,Female,0,No,No,11,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,51.92,567.18,No
CUST-00127,Male,0,Yes,No,10,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,One year,Yes,Mailed check,57.19,541.29,No
CUST-00128,Female,0,No,No,12,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,116.17,1378.72,No
CUST-00129,Female,0,No,No,34,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),63.52,2189.11,No
CUST-00130,Female,0,No,No,26,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,114.76,2944.34,No
CUST-00131,Male,0,No,Yes,66,Yes,No,DSL,No,Yes,No,No,No,No,Two year,Yes,Mailed check,91.24,6002.21,No
CUST-00132,Male,0,Yes,Yes,44,Yes,No,DSL,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Mailed check,43.31,1895.3,Yes
CUST-00133,Male,0,No,No,66,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),88.2,5793.95,No
CUST-00134,Male,0,No,No,21,No,No phone service,DSL,No,No,Yes,No,Yes,No,One year,No,Mailed check,58.27,1244.51,No
CUST-00135,Male,0,Yes,Yes,41,Yes,No,DSL,Yes,No,Yes,No,No,No,Two year,No,Bank transfer (automatic),75.93,3110.01,No
CUST-00136,Male,1,Yes,No,19,Yes,No,DSL,No,No,Yes,No,No,No,Two year,No,Bank transfer (automatic),69.93,1373.33,No
CUST-00137,Male,0,No,No,47,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,No,Electronic check,111.18,5209.45,No
CUST-00138,Male,1,Yes,No,17,Yes,Yes,Fiber optic,No,No,No,No,No,No,Two year,No,Credit card (automatic),30.97,569.04,Yes
CUST-00139,Male,0,Yes,No,69,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No,Two year,Yes,Credit card (automatic),62.39,4311.74,No
CUST-00140,Female,0,Yes,No,5,Yes,No,DSL,No,No,No,No,Yes,No,Month-to-month,Yes,Mailed check,26.12,134.47,Yes
CUST-00141,Male,0,Yes,No,38,Yes,Yes,DSL,Yes,No,No,No,Yes,No,One year,Yes,Bank transfer (automatic),43.47,1625.35,No
CUST-00142,Female,0,Yes,No,10,Yes,Yes,DSL,No,No,No,Yes,Yes,No,Month-to-month,Yes,Bank transfer (automatic),25.68,301.58,No
CUST-00143,Female,0,Yes,No,24,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),111.87,2666.71,Yes
CUST-00144,Female,0,Yes,No,54,No,No phone service,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Two year,Yes,Electronic check,49.49,2677.12,No
CUST-00145,Male,0,No,No,57,Yes,Yes,DSL,No,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),96.13,5523.35,No
CUST-00146,Male,1,No,Yes,36,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,No,Electronic check,92.85,3377.66,No
CUST-00147,Male,0,Yes,Yes,15,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,32.04,461.48,No
CUST-00148,Male,0,Yes,No,69,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),32.11,2246.1,No
CUST-00149,Female,0,No,No,72,Yes,No,DSL,No,No,No,No,Yes,No,Month-to-month,No,Credit card (automatic),55.79,4034.96,Yes
CUST-00150,Male,0,Yes,No,36,Yes,No,Fiber optic,No,No,No,Yes,No,Yes,Month-to-month,No,Bank transfer (automatic),74.86,2648.3,No
CUST-00151,Male,0,Yes,Yes,52,Yes,No,Fiber optic,No,No,No,Yes,No,No,One year,Yes,Bank transfer (automatic),60.67,3154.13,No
CUST-00152,Male,0,Yes,Yes,15,Yes,No,DSL,No,Yes,No,No,Yes,Yes,Month-to-month,No,Bank transfer (automatic),94.8,1414.24,No
CUST-00153,Male,0,No,No,17,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),71.59,1232.92,No
CUST-00154,Male,0,No,Yes,18,No,No phone service,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,106.18,1931.52,No
CUST-00155,Female,0,No,Yes,43,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,77.24,3341.78,No
CUST-00156,Male,0,No,No,1,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),77.24,73.23,No
CUST-00157,Female,1,No,Yes,57,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,83.97,4831.02,No
CUST-00158,Male,0,Yes,No,9,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,78.3,661.81,No
CUST-00159,Female,0,No,No,45,No,No phone service,Fiber optic,No,Yes,No,Yes,Yes,No,Month-to-month,No,Bank transfer (automatic),79.21,3579.33,Yes
CUST-00160,Male,0,Yes,Yes,18,Yes,No,Fiber optic,No,No,No,No,Yes,No,One year,No,Bank transfer (automatic),62.97,1127.37,No
CUST-00161,Male,1,No,No,37,Yes,Yes,Fiber optic,Yes,No,No,Yes,Yes,Yes,Month-to-month,No,Mailed check,27.05,974.1,Yes
CUST-00162,Female,0,No,No,36,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),54.89,1939.71,No
CUST-00163,Female,0,No,No,44,Yes,Yes,DSL,No,No,No,No,No,Yes,Two year,No,Electronic check,94.83,4168.77,No
CUST-00164,Female,0,Yes,No,33,Yes,No,DSL,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,21.8,699.93,No
CUST-00165,Male,0,Yes,No,1,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,87.06,58.98,No
CUST-00166,Female,0,No,No,43,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,116.09,4945.5,No
CUST-00167,Male,0,No,No,26,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,One year,Yes,Mailed check,61.6,1582.88,No
CUST-00168,Male,0,No,No,47,Yes,Yes,Fiber optic,No,No,No,Yes,No,No,Month-to-month,Yes,Mailed check,39.24,1887.47,Yes
CUST-00169,Female,0,Yes,Yes,6,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),20.3,125.64,Yes
CUST-00170,Female,0,No,Yes,26,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),103.48,2664.62,No
CUST-00171,Male,0,No,Yes,70,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,32.74,2339.37,No
CUST-00172,Male,0,No,No,17,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,One year,Yes,Electronic check,22.31,394.39,Yes
CUST-00173,Female,0,No,Yes,32,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,66.54,2129.99,No
